trace_id,poly_l,coeff_i,k,z_pred_cls,z_pred_val,conf,z_conf,c_ok,z_ok,pair_ok
22692,3,5,773,0,131072,6,0.99469,True,True,True
22695,3,6,774,3,-131073,2,0.99699,True,True,True
22696,3,5,773,0,131072,2,0.99997,True,True,True
22698,3,5,773,2,-131072,2,0.99649,True,True,True
22699,3,6,774,3,-131073,3,0.99977,True,True,True
22706,3,6,774,2,-131072,3,0.9942,True,True,True
22712,3,6,774,0,131072,2,0.99653,True,True,True
22715,3,7,775,3,-131073,0,0.99359,True,True,True
22716,3,6,774,0,131072,5,0.99958,True,True,True
22722,3,6,774,2,-131072,1,0.99266,True,True,True
22725,3,9,777,1,131071,1,0.99976,True,True,True
22728,3,6,774,0,131072,1,0.99774,True,True,True
22733,3,9,777,1,131071,1,0.99825,True,True,True
22750,3,8,776,2,-131072,0,0.99792,True,True,True
22751,3,8,776,3,-131073,2,0.99913,True,True,True
22755,3,8,776,3,-131073,5,0.99953,True,True,True
22758,3,8,776,2,-131072,1,0.99476,True,True,True
22759,3,8,776,3,-131073,2,0.99874,True,True,True
22767,3,8,776,3,-131073,5,0.99977,True,True,True
22772,3,8,776,0,131072,3,0.99847,True,True,True
22775,3,8,776,3,-131073,2,0.99649,True,True,True
22787,3,9,777,3,-131073,3,0.99877,True,True,True
22791,3,9,777,3,-131073,2,0.99978,True,True,True
22792,3,9,777,0,131072,1,0.99896,True,True,True
22795,3,9,777,3,-131073,2,0.9993,True,True,True
22804,3,9,777,0,131072,0,0.99775,True,True,True
22808,3,10,778,0,131072,4,0.99958,True,True,True
22812,3,10,778,0,131072,2,0.99995,True,True,True
22822,3,11,779,2,-131072,2,0.99546,True,True,True
22826,3,11,779,2,-131072,1,0.99906,True,True,True
22827,3,10,778,3,-131073,3,0.99853,True,True,True
22832,3,10,778,0,131072,0,0.99954,True,True,True
22834,3,11,779,2,-131072,0,0.99832,True,True,True
22838,3,11,779,2,-131072,1,0.99688,True,True,True
22843,3,11,779,3,-131073,2,0.99901,True,True,True
22844,3,11,779,0,131072,3,0.99137,True,True,True
22845,3,12,780,1,131071,1,0.99932,True,True,True
22850,3,11,779,2,-131072,0,0.99749,True,True,True
22854,3,12,780,2,-131072,2,0.99991,True,True,True
22857,3,12,780,1,131071,10,0.99876,True,True,True
22862,3,12,780,2,-131072,2,0.99145,True,True,True
22865,3,13,781,1,131071,1,0.99908,True,True,True
22866,3,12,780,2,-131072,4,0.99606,True,True,True
22868,3,11,779,0,131072,2,0.99636,True,True,True
22871,3,12,780,3,-131073,1,0.99714,True,True,True
22872,3,11,779,0,131072,1,0.99171,True,True,True
22874,3,13,781,2,-131072,3,0.9972,True,True,True
22875,3,12,780,3,-131073,1,0.99822,True,True,True
22884,3,12,780,0,131072,1,0.99967,True,True,True
22891,3,12,780,3,-131073,1,0.99976,True,True,True
22893,3,13,781,1,131071,0,0.99882,True,True,True
22897,3,13,781,1,131071,2,0.99735,True,True,True
22907,3,12,780,3,-131073,0,0.99756,True,True,True
22913,3,14,782,1,131071,6,0.9999,True,True,True
22915,3,13,781,3,-131073,4,0.99994,True,True,True
22919,3,13,781,3,-131073,4,0.99923,True,True,True
22923,3,13,781,3,-131073,4,0.99456,True,True,True
22930,3,14,782,2,-131072,7,0.99455,True,True,True
22932,3,13,781,0,131072,1,0.99946,True,True,True
22934,3,14,782,2,-131072,3,0.99361,True,True,True
22939,3,13,781,3,-131073,1,0.99981,True,True,True
22945,3,15,783,1,131071,2,0.99468,True,True,True
22949,3,15,783,1,131071,1,0.99421,True,True,True
22951,3,13,781,3,-131073,2,0.99795,True,True,True
22952,3,13,781,0,131072,3,0.99909,True,True,True
22953,3,15,783,1,131071,1,0.99628,True,True,True
22957,3,15,783,1,131071,2,0.99933,True,True,True
22959,3,14,782,3,-131073,3,0.99983,True,True,True
22963,3,14,782,3,-131073,0,0.99982,True,True,True
22964,3,13,781,0,131072,1,0.99395,True,True,True
22966,3,15,783,2,-131072,2,0.99993,True,True,True
22969,3,15,783,1,131071,1,0.99849,True,True,True
22983,3,14,782,3,-131073,0,0.99983,True,True,True
22991,3,15,783,3,-131073,3,0.99953,True,True,True
22998,3,16,784,2,-131072,5,0.99352,True,True,True
23000,3,14,782,0,131072,1,0.99893,True,True,True
23005,3,16,784,1,131071,2,0.99923,True,True,True
23007,3,15,783,3,-131073,1,0.99877,True,True,True
23009,3,16,784,1,131071,4,0.99816,True,True,True
23011,3,15,783,3,-131073,0,0.99997,True,True,True
23014,3,17,785,2,-131072,0,0.997,True,True,True
23016,3,15,783,0,131072,2,0.99913,True,True,True
23019,3,15,783,3,-131073,0,0.9998,True,True,True
23021,3,17,785,1,131071,1,0.99944,True,True,True
23022,3,17,785,2,-131072,1,0.99855,True,True,True
23023,3,15,783,3,-131073,0,0.99992,True,True,True
23024,3,15,783,0,131072,3,0.99974,True,True,True
23029,3,17,785,1,131071,2,0.99924,True,True,True
23032,3,16,784,0,131072,1,0.99989,True,True,True
23035,3,16,784,3,-131073,1,0.99967,True,True,True
23053,3,18,786,1,131071,2,0.99868,True,True,True
23056,3,16,784,0,131072,5,0.99946,True,True,True
23058,3,18,786,2,-131072,1,0.99898,True,True,True
23060,3,16,784,0,131072,1,0.99748,True,True,True
23061,3,18,786,1,131071,4,0.99981,True,True,True
23062,3,18,786,2,-131072,3,0.99081,True,True,True
23065,3,18,786,1,131071,5,0.99448,True,True,True
23070,3,18,786,2,-131072,3,0.99828,True,True,True
23072,3,17,785,0,131072,6,0.99859,True,True,True
23074,3,19,787,2,-131072,4,0.99558,True,True,True
23075,3,17,785,3,-131073,1,0.99514,True,True,True
23076,3,17,785,0,131072,1,0.99946,True,True,True
23077,3,19,787,1,131071,0,0.99569,True,True,True
23089,3,20,788,1,131071,3,0.99866,True,True,True
23090,3,19,787,2,-131072,2,0.99982,True,True,True
23093,3,20,788,1,131071,3,0.99993,True,True,True
23097,3,20,788,1,131071,2,0.99665,True,True,True
23102,3,19,787,2,-131072,2,0.99884,True,True,True
23107,3,18,786,3,-131073,1,0.99993,True,True,True
23110,3,19,787,2,-131072,2,0.99009,True,True,True
23121,3,21,789,1,131071,1,0.99965,True,True,True
23122,3,20,788,2,-131072,4,0.99938,True,True,True
23125,3,21,789,1,131071,2,0.99798,True,True,True
23126,3,20,788,2,-131072,3,0.99694,True,True,True
23127,3,19,787,3,-131073,1,0.99979,True,True,True
23128,3,19,787,0,131072,5,0.99964,True,True,True
23129,3,21,789,1,131071,0,0.99879,True,True,True
23132,3,19,787,0,131072,0,0.99871,True,True,True
23138,3,20,788,2,-131072,0,0.99512,True,True,True
23142,3,20,788,2,-131072,1,0.9952,True,True,True
23145,3,22,790,1,131071,1,0.99903,True,True,True
23146,3,21,789,2,-131072,2,0.99954,True,True,True
23147,3,20,788,3,-131073,2,0.99985,True,True,True
23149,3,22,790,1,131071,5,0.99936,True,True,True
23150,3,21,789,2,-131072,6,0.99778,True,True,True
23152,3,20,788,0,131072,1,0.99982,True,True,True
23158,3,21,789,2,-131072,0,0.9995,True,True,True
23159,3,20,788,3,-131073,2,0.99994,True,True,True
23163,3,20,788,3,-131073,2,0.99997,True,True,True
23169,3,22,790,1,131071,2,0.99713,True,True,True
23170,3,21,789,2,-131072,1,0.99924,True,True,True
23171,3,20,788,3,-131073,1,0.99973,True,True,True
23172,3,21,789,0,131072,3,0.99277,True,True,True
23174,3,21,789,2,-131072,3,0.99969,True,True,True
23176,3,21,789,0,131072,2,0.99812,True,True,True
23179,3,20,788,3,-131073,1,0.99018,True,True,True
23183,3,20,788,3,-131073,1,0.99985,True,True,True
23194,3,22,790,2,-131072,3,0.99915,True,True,True
23196,3,21,789,0,131072,4,0.99652,True,True,True
23197,3,23,791,1,131071,0,0.99962,True,True,True
23202,3,22,790,2,-131072,3,0.9993,True,True,True
23203,3,21,789,3,-131073,0,0.99999,True,True,True
23206,3,22,790,2,-131072,0,0.9982,True,True,True
23208,3,22,790,0,131072,1,0.99875,True,True,True
23212,3,22,790,0,131072,1,0.99949,True,True,True
23214,3,22,790,2,-131072,2,0.99567,True,True,True
23215,3,21,789,3,-131073,1,0.99866,True,True,True
23219,3,22,790,3,-131073,3,0.99999,True,True,True
23221,3,24,792,1,131071,1,0.99817,True,True,True
23222,3,23,791,2,-131072,2,0.99895,True,True,True
23223,3,22,790,3,-131073,0,0.99687,True,True,True
23228,3,23,791,0,131072,1,0.99926,True,True,True
23236,3,23,791,0,131072,7,0.9968,True,True,True
23245,3,24,792,1,131071,0,0.9991,True,True,True
23246,3,23,791,2,-131072,2,0.99744,True,True,True
23254,3,23,791,2,-131072,3,0.99613,True,True,True
23257,3,25,793,1,131071,1,0.99971,True,True,True
23260,3,24,792,0,131072,2,0.99403,True,True,True
23263,3,23,791,3,-131073,5,0.99984,True,True,True
23264,3,24,792,0,131072,0,0.99975,True,True,True
23265,3,25,793,1,131071,2,0.99554,True,True,True
23270,3,24,792,2,-131072,2,0.99912,True,True,True
23272,3,24,792,0,131072,2,0.9993,True,True,True
23274,3,24,792,2,-131072,4,0.99957,True,True,True
23282,3,24,792,2,-131072,2,0.99515,True,True,True
23286,3,24,792,2,-131072,5,0.99905,True,True,True
23287,3,24,792,3,-131073,4,0.99983,True,True,True
23297,3,27,795,1,131071,1,0.99993,True,True,True
23301,3,27,795,1,131071,0,0.99976,True,True,True
23305,3,27,795,1,131071,2,0.99616,True,True,True
23308,3,25,793,0,131072,2,0.99466,True,True,True
23311,3,25,793,3,-131073,1,0.99995,True,True,True
23318,3,25,793,2,-131072,2,0.99859,True,True,True
23319,3,25,793,3,-131073,1,0.99637,True,True,True
23321,3,28,796,1,131071,4,0.99852,True,True,True
23323,3,25,793,3,-131073,2,0.99974,True,True,True
23327,3,25,793,3,-131073,0,0.99912,True,True,True
23328,3,26,794,0,131072,1,0.99869,True,True,True
23332,3,26,794,0,131072,1,0.99756,True,True,True
23333,3,28,796,1,131071,3,0.99771,True,True,True
23335,3,25,793,3,-131073,1,0.99965,True,True,True
23339,3,26,794,3,-131073,2,0.99853,True,True,True
23340,3,27,795,0,131072,2,0.99363,True,True,True
23351,3,26,794,3,-131073,1,0.99988,True,True,True
23353,3,29,797,1,131071,1,0.99899,True,True,True
23355,3,26,794,3,-131073,2,0.99982,True,True,True
23357,3,29,797,1,131071,1,0.99091,True,True,True
23358,3,26,794,2,-131072,1,0.99785,True,True,True
23361,3,29,797,1,131071,1,0.9997,True,True,True
23362,3,26,794,2,-131072,2,0.99275,True,True,True
23363,3,26,794,3,-131073,0,0.99945,True,True,True
23364,3,28,796,0,131072,1,0.99946,True,True,True
23366,3,26,794,2,-131072,2,0.99519,True,True,True
23367,3,26,794,3,-131073,2,0.99986,True,True,True
23371,3,26,794,3,-131073,2,0.99975,True,True,True
23375,3,27,795,3,-131073,0,0.99937,True,True,True
23376,3,28,796,0,131072,3,0.99969,True,True,True
23377,3,29,797,1,131071,3,0.99981,True,True,True
23383,3,27,795,3,-131073,2,0.99989,True,True,True
23385,3,30,798,1,131071,5,0.99987,True,True,True
23387,3,27,795,3,-131073,2,0.99589,True,True,True
23399,3,27,795,3,-131073,3,0.99977,True,True,True
23407,3,27,795,3,-131073,3,0.99979,True,True,True
23408,3,29,797,0,131072,2,0.99975,True,True,True
23411,3,27,795,3,-131073,0,0.99986,True,True,True
23415,3,28,796,3,-131073,4,0.99926,True,True,True
23417,3,30,798,1,131071,4,0.99437,True,True,True
23426,3,28,796,2,-131072,3,0.99632,True,True,True
23432,3,30,798,0,131072,2,0.99632,True,True,True
23433,3,31,799,1,131071,1,0.9992,True,True,True
23436,3,30,798,0,131072,2,0.99976,True,True,True
23438,3,28,796,2,-131072,3,0.99728,True,True,True
23449,3,32,800,1,131071,2,0.99705,True,True,True
23452,3,30,798,0,131072,2,0.99868,True,True,True
23455,3,29,797,3,-131073,3,0.9992,True,True,True
23458,3,29,797,2,-131072,6,0.99591,True,True,True
23461,3,32,800,1,131071,0,0.99809,True,True,True
23462,3,29,797,2,-131072,3,0.99749,True,True,True
23465,3,33,801,1,131071,4,0.99761,True,True,True
23470,3,29,797,2,-131072,2,0.99675,True,True,True
23471,3,30,798,3,-131073,2,0.99992,True,True,True
23472,3,30,798,0,131072,4,0.99591,True,True,True
23474,3,29,797,2,-131072,1,0.9964,True,True,True
23484,3,31,799,0,131072,2,0.99891,True,True,True
23485,3,34,802,1,131071,0,0.99992,True,True,True
23486,3,29,797,2,-131072,2,0.99232,True,True,True
23487,3,30,798,3,-131073,3,0.99963,True,True,True
23491,3,30,798,3,-131073,1,0.99982,True,True,True
23493,3,34,802,1,131071,0,0.99912,True,True,True
23494,3,30,798,2,-131072,2,0.99712,True,True,True
23505,3,34,802,1,131071,2,0.99521,True,True,True
23507,3,31,799,3,-131073,1,0.99949,True,True,True
23509,3,34,802,1,131071,3,0.99672,True,True,True
23512,3,32,800,0,131072,10,0.99912,True,True,True
23516,3,32,800,0,131072,1,0.99952,True,True,True
23521,3,34,802,1,131071,1,0.99806,True,True,True
23523,3,31,799,3,-131073,0,0.99996,True,True,True
23529,3,34,802,1,131071,3,0.99796,True,True,True
23531,3,32,800,3,-131073,1,0.99694,True,True,True
23534,3,31,799,2,-131072,1,0.99546,True,True,True
23535,3,32,800,3,-131073,2,0.99893,True,True,True
23536,3,33,801,0,131072,2,0.99905,True,True,True
23538,3,32,800,2,-131072,2,0.99796,True,True,True
23539,3,32,800,3,-131073,2,0.99936,True,True,True
23541,3,35,803,1,131071,1,0.99905,True,True,True
23542,3,32,800,2,-131072,5,0.99814,True,True,True
23546,3,32,800,2,-131072,2,0.99493,True,True,True
23547,3,32,800,3,-131073,2,0.99986,True,True,True
23549,3,35,803,1,131071,2,0.99797,True,True,True
23555,3,32,800,3,-131073,1,0.99942,True,True,True
23558,3,32,800,2,-131072,1,0.99573,True,True,True
23560,3,34,802,0,131072,5,0.99961,True,True,True
23562,3,32,800,2,-131072,3,0.99364,True,True,True
23568,3,34,802,0,131072,3,0.99947,True,True,True
23571,3,33,801,3,-131073,6,0.99969,True,True,True
23572,3,34,802,0,131072,1,0.99439,True,True,True
23578,3,33,801,2,-131072,2,0.99604,True,True,True
23584,3,34,802,0,131072,3,0.99982,True,True,True
23585,3,36,804,1,131071,0,0.9989,True,True,True
23587,3,33,801,3,-131073,3,0.99958,True,True,True
23601,3,36,804,1,131071,3,0.99805,True,True,True
23605,3,36,804,1,131071,0,0.99917,True,True,True
23606,3,34,802,2,-131072,2,0.99947,True,True,True
23613,3,36,804,1,131071,2,0.99975,True,True,True
23614,3,34,802,2,-131072,3,0.99811,True,True,True
23615,3,34,802,3,-131073,2,0.99869,True,True,True
23616,3,35,803,0,131072,1,0.99859,True,True,True
23619,3,34,802,3,-131073,1,0.99864,True,True,True
23620,3,36,804,0,131072,2,0.99967,True,True,True
23621,3,36,804,1,131071,2,0.99803,True,True,True
23635,3,35,803,3,-131073,1,0.99992,True,True,True
23638,3,35,803,2,-131072,3,0.99923,True,True,True
23641,3,38,806,1,131071,0,0.99718,True,True,True
23651,3,35,803,3,-131073,3,0.99502,True,True,True
23672,3,37,805,0,131072,5,0.9998,True,True,True
23674,3,35,803,2,-131072,3,0.9959,True,True,True
23676,3,38,806,0,131072,0,0.99937,True,True,True
23678,3,35,803,2,-131072,0,0.99338,True,True,True
23679,3,36,804,3,-131073,0,0.99944,True,True,True
23681,3,39,807,1,131071,6,0.99569,True,True,True
23684,3,39,807,0,131072,5,0.99148,True,True,True
23689,3,40,808,1,131071,1,0.99946,True,True,True
23691,3,37,805,3,-131073,2,0.99558,True,True,True
23693,3,40,808,1,131071,1,0.99903,True,True,True
23694,3,36,804,2,-131072,2,0.99845,True,True,True
23703,3,37,805,3,-131073,2,0.99983,True,True,True
23713,3,40,808,1,131071,1,0.99812,True,True,True
